"BROAD","CCLE"
"A375","A375_SKIN"
"A549","A549_LUNG"
"A673","A673_BONE"
"AGS","AGS_STOMACH"
"BT20","BT20_BREAST"
"CL34","CL34_LARGE_INTESTINE"
"CORL23","CORL23_LUNG"
"COV644","COV644_OVARY"
"DV90","DV90_LUNG"
"EFO27","EFO27_OVARY"
"HCT116","HCT116_LARGE_INTESTINE"
"HEC108","HEC108_ENDOMETRIUM"
"HEKTE","HEKTE_KIDNEY"
"HEPG2","HEPG2_LIVER"
"HL60","HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"
"HS578T","HS578T_BREAST"
"HT115","HT115_LARGE_INTESTINE"
"HT29","HT29_LARGE_INTESTINE"
"HUH7","HUH7_LIVER"
"JHUEM2","JHUEM2_ENDOMETRIUM"
"JURKAT","JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"
"LOVO","LOVO_LARGE_INTESTINE"
"MCF7","MCF7_BREAST"
"MDAMB231","MDAMB231_BREAST"
"MDST8","MDST8_LARGE_INTESTINE"
"NCIH1694","NCIH1694_LUNG"
"NCIH1836","NCIH1836_LUNG"
"NCIH596","NCIH596_LUNG"
"NCIH716","NCIH716_LARGE_INTESTINE"
"NOMO1","NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"
"OV7","OV7_OVARY"
"PC3","PC3_PROSTATE"
"PL21","PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"
"RKO","RKO_LARGE_INTESTINE"
"RMGI","RMGI_OVARY"
"RMUGS","RMUGS_OVARY"
"SHSY5Y","SHSY5Y_AUTONOMIC_GANGLIA"
"SKBR3","SKBR3_BREAST"
"SKLU1","SKLU1_LUNG"
"SKM1","SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"
"SKMEL1","SKMEL1_SKIN"
"SKMEL28","SKMEL28_SKIN"
"SNGM","SNGM_ENDOMETRIUM"
"SNU1040","SNU1040_LARGE_INTESTINE"
"SNUC4","SNUC4_LARGE_INTESTINE"
"SNUC5","SNUC5_LARGE_INTESTINE"
"SW480","SW480_LARGE_INTESTINE"
"SW620","SW620_LARGE_INTESTINE"
"SW948","SW948_LARGE_INTESTINE"
"T3M10","T3M10_LUNG"
"THP1","THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"
"TYKNU","TYKNU_OVARY"
"U2OS","U2OS_BONE"
"U937","U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"
"VCAP","VCAP_PROSTATE"
"WSUDLCL2","WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"
